Gene.name,Gene id
Cd4,ENSMUSG00000023274
Rac2,ENSMUSG00000033220
Rac3,ENSMUSG00000018012
Il6,ENSMUSG00000025746
Ccl1,ENSMUSG00000020702
Nos1,ENSMUSG00000029361
Nos2,ENSMUSG00000020826
Nos3,ENSMUSG00000028978
Mtrr,ENSMUSG00000034617
Por,ENSMUSG00000005514
Ndor1,ENSMUSG00000006471
Tyw1,ENSMUSG00000056310
Itgb3,ENSMUSG00000020689
Itga2b,ENSMUSG00000034664
Itgb5,ENSMUSG00000022817
Slc10a5,ENSMUSG00000058921
Cacna1c,ENSMUSG00000051331
