Gene.name,Gene id
Mylk2,ENSMUSG00000027470
Adcy5,ENSMUSG00000022840
Chrm2,ENSMUSG00000045613
Atp1a2,ENSMUSG00000007097
Ccnd1,ENSMUSG00000070348
Casq1,ENSMUSG00000007122
Tecrl,ENSMUSG00000049537
Myh2,ENSMUSG00000033196
Nr1d2,ENSMUSG00000021775
Dbp,ENSMUSG00000059824
Myh2,ENSMUSG00000033196
Paox,ENSMUSG00000025464
Sat1,ENSMUSG00000025283
Gm45819,ENSMUSG00000109904
Per3,ENSMUSG00000028957
Tecrl,ENSMUSG00000049537
Col14a1,ENSMUSG00000022371
D430041D05Rik,ENSMUSG00000068373
