"Homo.L.arginine","Itgb5","score","Achromobacter_spanius"
4.436,66.4,0.652212468,358
4.444,67.5,0.455524872,33
4.026,65.3,0.587710074,153
3.367,47.22,0.343870362,240
3.706,87.12,0.617525208,194
3.318,64.84,0.468545045,39
3.813,75.65,0.32572039,418
4.98,62.76,0.151202718,2743
5.185,91.46,0.169667915,844
4.905,63.49,0.081781953,1199
4.3,77.76,0.108191038,468
4.387,74.41,0.155241935,191
4.684,60.94,0.027210794,505
3.559,72.76,0.228074532,862
4.827,70.35,0.125,1363
4.818,67.6,-0.025960462,1803
4.708,43.79,-0.019155056,337
4.539,73.78,-0.076889241,1102
