,Severe1,Severe2,Severe3,Severe4,Severe5,Severe6,Middle1,Middle2,Middle3,Middle4,Middle5,Middle6,Mild1,Mild2,Mild3,Mild4,Mild5,Mild6
ASV23,0.002308208,0,0.001464347,0.000694944,0.001588444,0.000273014,0.003449902,0.026904271,0.002754958,0.007892581,0.003747735,0.003573999,0.006502693,0.004666054,0.005162443,0.004591596,0.001365069,0.002556402
ASV28,0.001911097,7.45E-05,0.001985555,0.001538805,0.001216152,0.000173736,0.003648457,0.013973344,0.005261721,0.007644387,0.002705319,0.001662902,0.004814971,0.005931846,0.006105582,0.007669207,0.002382666,0.004244124
ASV25,0.001911097,0,0.001960736,0.000992778,0.00131543,0,0.005063165,0.006080762,0.003822194,0.00573329,0.006999082,0.004293763,0.004492318,0.00573329,0.005261721,0.005807749,0.001141694,0.003251346
ASV21,0.000694944,0.000124097,0.002010375,0.001414708,0.001836638,9.93E-05,0.001613264,0.001985555,0.004318582,0.001265791,0.002854235,0.001836638,0.007718845,0.006899804,0.012111886,0.008041498,0.004393041,0.003847013
ASV298,0,0,0,0,0,0,0,0,0,0,0,0.000124097,0,0,0,0.013427316,0,0.043409198
ASV20,0.001216152,0,0.000967958,0.000943139,0.001911097,0,0.002606041,0.002035194,0.002953513,0.004814971,0.002854235,0.002308208,0.002184111,0.004045568,0.002432305,0.004790152,0.002283388,0.003573999
ASV203,0,0,0.000173736,0,0,0,0.000794222,0.000248194,0,0,0,0,4.96E-05,0,0,0.000248194,0,0.009083915
ASV33,0,0,0.001737361,0.000794222,0.000744583,0,0.001191333,0.010399345,0.003400263,0.000546028,0.000248194,0.000496389,0.003127249,0.003648457,0.004963888,0.004144846,0.001687722,0.003201708
ASV185,0,0,0.003400263,0,0,0,0,0,0,0,0.004268943,0,0.007619568,0,0,0,0,0.01283165
ASV27,0.000918319,0,0,0.000819041,0.001240972,0,0.003822194,0.002035194,0.000620486,0.001141694,0.003921471,0.003152069,0.003251346,0.003946291,0.003226527,0.00176218,0,0.001216152
