"","X1","X2","elements","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree","group","ID","Domain","Kingdom","Phylum","Class","Order","Family","Genus","Species","Group","nodes","label"
"16",-2.45010966608729,-12.2227886094147,"ASV15",3,0.24124513618677,98.4851966873706,3,"Severe","ASV15","d__Bacteria","k__norank_d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Stenotrophomonas","s__unclassified_g__Stenotrophomonas","Severe",63,"Severe: (nodes: 63; links: )"
"17",-2.15373304882847,-6.12288982010707,"ASV16",8,0.333333333333333,47.2398596680462,8,"Severe","ASV16","d__Bacteria","k__norank_d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__unclassified_f__Chitinophagaceae","s__unclassified_f__Chitinophagaceae","Severe",63,"Severe: (nodes: 63; links: )"
"18",6.91806816163743,12.0878800350496,"ASV17",2,0.284403669724771,98.456469979296,2,"Severe","ASV17","d__Bacteria","k__norank_d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","s__unclassified_g__Acinetobacter","Severe",63,"Severe: (nodes: 63; links: )"
"19",14.1559601120495,1.39766934293472,"ASV18",2,0.291079812206573,29.7420634920635,2,"Severe","ASV18","d__Bacteria","k__norank_d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingomonas","s__unclassified_g__Sphingomonas","Severe",63,"Severe: (nodes: 63; links: )"
"20",-5.60856044910347,-9.32443819460871,"ASV180",3,0.236641221374046,61,3,"Severe","ASV180","d__Bacteria","k__norank_d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Escherichia-Shigella","s__unclassified_g__Escherichia-Shigella","Severe",63,"Severe: (nodes: 63; links: )"
"21",8.68580500619327,11.0362512642736,"ASV181",7,0.324607329842932,2.28636363636364,7,"Severe","ASV181","d__Bacteria","k__norank_d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Escherichia-Shigella","s__unclassified_g__Escherichia-Shigella","Severe",63,"Severe: (nodes: 63; links: )"
"22",-3.5094342943932,-2.42601279787561,"ASV182",12,0.342541436464088,74.3457509731137,12,"Severe","ASV182","d__Bacteria","k__norank_d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__unclassified_g__Bacillus","Severe",63,"Severe: (nodes: 63; links: )"
"23",-7.97921761189407,-9.65543976162953,"ASV183",2,0.23574144486692,0,2,"Severe","ASV183","d__Bacteria","k__norank_d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Escherichia-Shigella","s__unclassified_g__Escherichia-Shigella","Severe",63,"Severe: (nodes: 63; links: )"
"24",-7.41150038660645,-2.14804477685595,"ASV184",10,0.354285714285714,8.92014457319949,10,"Severe","ASV184","d__Bacteria","k__norank_d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__unclassified_g__Bacillus","Severe",63,"Severe: (nodes: 63; links: )"
"25",3.27677407483697,10.154511000327,"ASV185",6,0.322916666666667,1.88636363636364,6,"Severe","ASV185","d__Bacteria","k__norank_d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Escherichia-Shigella","s__unclassified_g__Escherichia-Shigella","Severe",63,"Severe: (nodes: 63; links: )"
