"","X2","Y2","OTU_2","OTU_1","weight","X1","Y1","cor","group","Group","nodes","label"
"1",3.11755830348672,4.90412084887299,"ASV26","ASV118",0.993246759435593,6.73772956009644,14.796855488841,"+","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"2",3.11755830348672,4.90412084887299,"ASV26","ASV88",1,-1.6920888285668,8.25782053494125,"+","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"3",3.11755830348672,4.90412084887299,"ASV26","ASV8",1,3.54867977991418,7.24060006709476,"+","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"4",3.11755830348672,4.90412084887299,"ASV26","ASV11",0.943505287682046,7.16117627592954,8.78071533373539,"+","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"5",3.11755830348672,4.90412084887299,"ASV26","ASV491",1,7.89864729169083,6.38112739065467,"+","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"6",3.11755830348672,4.90412084887299,"ASV26","ASV115",-0.946850084871223,-6.88530210537906,3.94124185928746,"-","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"7",3.11755830348672,4.90412084887299,"ASV26","ASV27",-0.77973124899438,-10.5725389619364,-0.998780997697586,"-","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"8",3.11755830348672,4.90412084887299,"ASV26","ASV39",-0.920834810939039,-4.94744660300456,4.89525297554439,"-","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"9",3.11755830348672,4.90412084887299,"ASV26","ASV36",-0.886539900669749,-9.87514115706439,3.80564393084208,"-","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"10",3.11755830348672,4.90412084887299,"ASV26","ASV129",-0.915425147873246,-7.78513342455585,3.26040193312049,"-","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"11",3.11755830348672,4.90412084887299,"ASV26","ASV4",-1,3.97884050214989,-6.63919322842273,"-","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"12",3.11755830348672,4.90412084887299,"ASV26","ASV17",-1,6.82283196733119,-9.22751905013881,"-","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"13",3.11755830348672,4.90412084887299,"ASV26","ASV113",0.838785430947609,-4.89714432113555,1.70411131536975,"+","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"14",3.11755830348672,4.90412084887299,"ASV26","ASV2",0.776852773763578,-11.6247249538978,1.54659065114101,"+","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"15",3.54867977991418,7.24060006709476,"ASV8","ASV6",1,5.40256155712284,6.64841338234247,"+","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"16",3.54867977991418,7.24060006709476,"ASV8","ASV11",0.899697757415077,7.16117627592954,8.78071533373539,"+","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"17",3.54867977991418,7.24060006709476,"ASV8","ASV491",0.928377554955259,7.89864729169083,6.38112739065467,"+","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"18",3.54867977991418,7.24060006709476,"ASV8","ASV126",-0.736164820057664,-7.79578038731797,6.0892666809439,"-","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"19",3.54867977991418,7.24060006709476,"ASV8","ASV129",-0.728103396588761,-7.78513342455585,3.26040193312049,"-","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"20",3.54867977991418,7.24060006709476,"ASV8","ASV131",-0.807224383330716,4.26818792596257,14.7541774096955,"-","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"21",3.54867977991418,7.24060006709476,"ASV8","ASV30",0.705353195233714,0.839652109387818,5.14483918833587,"+","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"22",3.54867977991418,7.24060006709476,"ASV8","ASV113",0.789877619232237,-4.89714432113555,1.70411131536975,"+","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"23",3.54867977991418,7.24060006709476,"ASV8","ASV2",0.803242878355154,-11.6247249538978,1.54659065114101,"+","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"24",3.54867977991418,7.24060006709476,"ASV8","ASV10",0.738070529769005,-6.74559309299614,2.821545114676,"+","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"25",5.40256155712284,6.64841338234247,"ASV6","ASV11",1,7.16117627592954,8.78071533373539,"+","Mild","Mild",72,"Mild: (nodes: 72; links: )"
